address,parking,type,num_schools,cost,suburb,beds,baths,cost/(beds+baths)
"4303/105 Clarendon Street, Southbank VIC 3006",1,Apartment / Unit / Flat,11,1500.0,Southbank,3,3,250.0
"704/450 ST KILDA ROAD, Melbourne VIC 3004",1,Apartment / Unit / Flat,12,540.0,Melbourne,1,1,270.0
"2804/7 Siddeley Street, Docklands VIC 3008",1,Apartment / Unit / Flat,9,1645.0,Docklands,3,2,329.0
"306/470 St Kilda Road, Melbourne VIC 3004",0,Apartment / Unit / Flat,12,520.0,Melbourne,2,1,173.33333333333334
"202/140 Dudley St, West Melbourne VIC 3003",1,Apartment / Unit / Flat,9,540.0,West Melbourne,1,1,270.0
"262/183 City Road, Southbank VIC 3006",0,Apartment / Unit / Flat,10,1400.0,Southbank,2,2,350.0
"1904/7 Siddeley Street, Docklands VIC 3008",1,Apartment / Unit / Flat,9,1580.0,Docklands,3,2,316.0
"504/55 Jeffcott Street, West Melbourne VIC 3003",0,Apartment / Unit / Flat,9,535.0,West Melbourne,1,1,267.5
"2204/22 Dorcas Street, Southbank VIC 3006",1,Apartment / Unit / Flat,10,1400.0,Southbank,2,2,350.0
"306/499 St Kilda Road, Melbourne VIC 3004",0,Apartment / Unit / Flat,12,540.0,Melbourne,1,1,270.0
"G07/133 Rosslyn Street, West Melbourne VIC 3003",1,Apartment / Unit / Flat,9,550.0,West Melbourne,1,1,275.0
"511/74 Queens Road, Melbourne VIC 3004",0,Apartment / Unit / Flat,11,520.0,Melbourne,1,1,260.0
"118/89 Roden Street, West Melbourne VIC 3003",1,Apartment / Unit / Flat,9,550.0,West Melbourne,1,1,275.0
"2205/687 Latrobe Sreet, Docklands VIC 3008",0,Apartment / Unit / Flat,9,1475.0,Docklands,3,2,295.0
"2701/7 Riverside Quay, Southbank VIC 3006",0,Apartment / Unit / Flat,9,1386.0,Southbank,2,2,346.5
"204/33-43 Batman Street, West Melbourne VIC 3003",0,Apartment / Unit / Flat,9,520.0,West Melbourne,1,1,260.0
"605/260 City Road, Southbank VIC 3006",0,Apartment / Unit / Flat,10,1300.0,Southbank,3,3,216.66666666666666
"1705/8-18 McCrae Street, Docklands VIC 3008",1,Apartment / Unit / Flat,8,1295.0,Docklands,3,2,259.0
"101/130 Dudley St, West Melbourne VIC 3003",0,Apartment / Unit / Flat,9,520.0,West Melbourne,1,1,260.0
